community_name,var_i,direction,var_j,p_value,val,time_lag
pytorch,AU,->,I,0.0025357693753161885,0.47577151628988046,3
pytorch,AU,->,R,0.001026836906059276,0.5178965800433444,2
pytorch,C,->,C,0.008607591641579098,0.4150367456100702,3
pytorch,C,->,D,0.008535410650154266,0.42071125342709775,1
pytorch,C2P,<->,R,0.00013274804508740516,-0.5872983530631544,0
pytorch,C2P,->,R,0.0011593037107180254,0.5070297336971034,2
pytorch,D,->,P,0.006863642727834843,-0.42591415856067033,5
pytorch,I,->,AU,0.006098507934955818,0.4368763757061497,6
pytorch,I,->,P,0.001446619803750205,-0.49848101992614624,10
pytorch,P,->,S,0.008771928950688918,0.4248169295869272,3
pytorch,P,->,P,0.0009279743302646255,0.5217082730653816,1
pytorch,R,->,S,0.0077777250712011406,0.4365036071826257,6
pytorch,R,->,R,0.0009455701877642832,-0.5210043588884122,1
pytorch,R,->,D,0.00818188764111353,0.4227878808884379,2
pytorch,R,->,S,0.00856789173515681,0.4316736618172722,12
pytorch,S,->,D,0.004263531995671166,-0.4590663691636461,10
pytorch,S,->,AU,0.005285160566466189,0.44922387625290816,5
pytorch,S,->,I,0.008909179809369882,0.4240408006284621,9
pytorch,S,->,S,9.844861880658777e-07,0.7073340987400483,1
