community_name,var_i,direction,var_j,p_value,val,time_lag
tensorflow,AU,->,AU,1.4440782240878259e-05,0.603565406947885,1
tensorflow,AU,->,S,0.008551070899659329,-0.38744372170328706,4
tensorflow,C,->,P,0.009064850925138096,0.37665928582495045,6
tensorflow,C2P,->,P,0.002171095708000569,-0.41968607007753567,9
tensorflow,C2P,<->,R,1.987172817693121e-08,-0.7013724977333691,0
tensorflow,C2P,<->,C,0.006936150086103308,-0.38087515194336086,0
tensorflow,D,->,C2P,0.000324712680134244,-0.4879751442256735,1
tensorflow,D,->,R,0.003585995855643235,0.4208596465506376,1
tensorflow,I,->,AU,0.0015682130438837414,0.4530590675331265,9
tensorflow,I,<->,C,0.0007867596868726961,0.4777191083881587,0
tensorflow,I,->,R,0.004726643044810461,0.40937822988229866,5
tensorflow,I,->,R,0.006642272282974251,-0.39057268451053373,1
tensorflow,P,->,R,0.002014076613261774,0.4305639180636096,1
tensorflow,P,<->,AU,0.005667799553885419,0.39745373929581873,0
tensorflow,R,<->,C,0.0017786398103487012,0.4483532009282428,0
tensorflow,S,->,S,0.0021158091080086456,0.4560469763423487,6
tensorflow,S,->,D,0.0068048186489667,0.3935993307248472,3
tensorflow,S,->,R,0.00980346906546833,0.3852861458830263,2
tensorflow,S,->,S,1.5311752072312671e-06,0.6532813330417054,1
