developer,pytorch_role,tensorflow_role
coder3101,,peripheral
nmjohn,,peripheral
rohan100jain,,core
brunomorishita,,peripheral
Cheng-Cheng2,peripheral,
jamiecook,,peripheral
adhintz,,peripheral
Albert-Z-Guo,,peripheral
soumith,core,
jongwon-jay-lee,,peripheral
rajendraarora16,,core
peterlee0127,,peripheral
poohzrn,,peripheral
rgommers,core,
venkatacrc,peripheral,
superbobry,peripheral,core
vincentvanhoucke,,core
v0dro,core,
lyoka,peripheral,
kylefernandes,peripheral,
andrijdavid,peripheral,
nairb774,,core
L0SG,peripheral,
jacobhepkema,peripheral,
nicolasfauchereau,,peripheral
codexetreme,peripheral,
alexggmatthews,,core
tiagofrepereira2012,,peripheral
BoyuanJiang,,peripheral
rnett,,core
xychang,peripheral,
fcole,,peripheral
cfc42f4134b0691d94f09714f0323c4f,peripheral,
jackielxu,peripheral,
ddc18f159b9c9e52fe575f44959f894e,peripheral,
abhilash1910,,peripheral
ifedan,core,
Yosshi999,,peripheral
kavoor,peripheral,
pwnall,,peripheral
ghchinoy,,core
Srini511,,core
sdierauf,,peripheral
0phoff,peripheral,
daviddao,,peripheral
d709f958f013aadde328f0629855085c,peripheral,
varunagrawal,peripheral,
drasmuss,,core
lidalei,,peripheral
soumyarooproy,peripheral,
chunjy92,,peripheral
andresusanopinto,,peripheral
gaurides,,core
silent567,,peripheral
guoguo12,,peripheral
qhduan,,peripheral
cmpute,peripheral,
f8ac9f3a2de7be6e223557bbc26e9722,peripheral,
arp95,,core
vsimkus,peripheral,
vamsi-sripathi,,peripheral
e3bb8ebc93d173678df1248b64b838dd,,peripheral
bnavigator,,peripheral
b-koopman,peripheral,
chunyuan-w,peripheral,
jpodivin,,core
jcf94,,peripheral
h-friederich,peripheral,
lspvic,,peripheral
tcosmo,peripheral,
calvinleenyc,peripheral,
malcolmgarner-movement,peripheral,
xinan-jiang,,core
XiagenFeng,peripheral,
arktrail,peripheral,
muxamilian,,peripheral
tenpercent,peripheral,
qiaohaijun,,peripheral
wangkuiyi,core,peripheral
gabloa,peripheral,
odeke-em,,peripheral
MJ10,peripheral,
DeepakVelmurugan,peripheral,
f3f6fb1e449cb680881b4f05779d29d7,peripheral,
tamimaddari82,,peripheral
burmako,,peripheral
wenscarl,,core
Maderator,,peripheral
keveman,,core
x-o1d,,peripheral
shreyneil,,peripheral
rishirajsinghjhelumi,peripheral,
Naruto-Sasuke,peripheral,
dillonalaird,peripheral,
peeyush18,,peripheral
JonTriebenbach,,peripheral
yawara,peripheral,
chrisolston,,peripheral
kshitij12345,core,
hbq1,,peripheral
RustingSword,,peripheral
zhenyang12121733,peripheral,
devashisht,peripheral,
kwotsin,,core
critiqjo,,peripheral
JoanThibault,,peripheral
jonycgn,,peripheral
tjrana,,peripheral
tunthoi,,peripheral
tigert1998,,peripheral
dothinking,,peripheral
allwu,peripheral,
chauhang,peripheral,
digitaldivide,,peripheral
andykitchen,,peripheral
yaroslavvb,peripheral,core
ASalvail,,peripheral
svenstaro,peripheral,peripheral
MrQianJinSi,,peripheral
dkm2110,peripheral,
dmadisetti,,peripheral
dnguyen28061,,core
lunixbochs,peripheral,
kalakris,,peripheral
cheeseblubber,peripheral,
petebu,,peripheral
lorenrose1013,,peripheral
veugene,peripheral,
iam-abbas,peripheral,
a80c89c5f5b41b25c2b40795ba12131b,peripheral,
mjwen,,peripheral
rotuna,peripheral,
kopytjuk,,peripheral
joerg-de,peripheral,
MohamedNourArm,,peripheral
merturl,,peripheral
tomasvr,,peripheral
hyuen,core,
abuccts,peripheral,
oskarflordal,,peripheral
steven-chien,,peripheral
movefast1990,peripheral,
hongxu-jia,,peripheral
DavidWongEA,peripheral,
danielmatte,peripheral,
icyblade,peripheral,
imaginary-person,core,
joeymeyer,,peripheral
mike9ant,peripheral,
kennyhorror,core,
zheng-xq,peripheral,core
yorkie,peripheral,peripheral
random-forests,,peripheral
brsoff,peripheral,
timsl,,peripheral
mkruskal-google,,peripheral
suragnair,peripheral,
Lucaskabela,peripheral,
gfkeith,,peripheral
gtamba,peripheral,
