version,active_users,core_developers,peripheral_developers,retention_rate,inflow_rate,dropout_rate,ratio_peri_core,ratio_active_dev,core2peripheral_rate,inflow_rate,stars,release_date
0.2.0,574,62,343,0,0,0,5.532258064516129,1.4172839506172838,0,0,6216,2017.08.28
0.3.0,469,43,164,0.41935483870967744,0.3953488372093023,0.1935483870967742,3.813953488372093,2.2657004830917873,0.27419354838709675,0.3953488372093023,8846,2017.12.05
0.4.0,740,46,190,0.5348837209302325,0.45652173913043476,0.11627906976744186,4.130434782608695,3.135593220338983,0.23255813953488372,0.45652173913043476,13022,2018.04.24
1.0.0,1494,62,362,0.7608695652173914,0.4032258064516129,0.021739130434782608,5.838709677419355,3.5235849056603774,0.17391304347826086,0.4032258064516129,20357,2018.12.07
1.1.0,1086,70,287,0.6290322580645161,0.42857142857142855,0.08064516129032258,4.1,3.042016806722689,0.24193548387096775,0.42857142857142855,25640,2019.05.01
1.2.0,871,59,225,0.6714285714285714,0.1864406779661017,0.1,3.8135593220338984,3.066901408450704,0.14285714285714285,0.1864406779661017,28673,2019.08.08
1.3.0,614,59,156,0.6271186440677966,0.3050847457627119,0.0847457627118644,2.6440677966101696,2.855813953488372,0.2542372881355932,0.3050847457627119,30352,2019.10.10
1.4.0,946,73,168,0.7627118644067796,0.2602739726027397,0.01694915254237288,2.3013698630136985,3.925311203319502,0.13559322033898305,0.2602739726027397,33412,2020.01.16
1.5.0,853,90,226,0.684931506849315,0.32222222222222224,0.1232876712328767,2.511111111111111,2.699367088607595,0.1643835616438356,0.32222222222222224,35968,2020.04.21
1.6.0,983,94,245,0.7555555555555555,0.22340425531914893,0.03333333333333333,2.606382978723404,2.8997050147492627,0.15555555555555556,0.22340425531914893,38663,2020.07.28
1.7.0,988,109,224,0.7127659574468085,0.29357798165137616,0.05319148936170213,2.055045871559633,2.966966966966967,0.1702127659574468,0.29357798165137616,41553,2020.10.27
1.8.0,1165,118,260,0.7798165137614679,0.2288135593220339,0.07339449541284404,2.2033898305084745,3.082010582010582,0.12844036697247707,0.2288135593220339,44742,2021.03.04
1.9.0,964,107,265,0.6779661016949152,0.22429906542056074,0.06779661016949153,2.4766355140186915,2.5913978494623655,0.22033898305084745,0.22429906542056074,47152,2021.06.15
1.10.0,1131,120,269,0.7570093457943925,0.25833333333333336,0.102803738317757,2.2416666666666667,2.9074550128534704,0.14018691588785046,0.25833333333333336,50020,2021.10.21
1.11.0,1076,105,315,0.625,0.20952380952380953,0.15833333333333333,3.0,2.5619047619047617,0.18333333333333332,0.20952380952380953,53224,2022.03.10
1.12.0,967,107,307,0.6761904761904762,0.27102803738317754,0.0761904761904762,2.869158878504673,2.3357487922705316,0.24761904761904763,0.27102803738317754,56853,2022.06.29
