version,active_users,core_developers,peripheral_developers,retention_rate,inflow_rate,dropout_rate,ratio_peri_core,ratio_active_dev,core2peripheral_rate,inflow_rate,stars,release_date
0.6.0,548,42,66,0,0,0,1.5714285714285714,5.074074074074074,0,0,16303,2016.02.16
0.9.0,721,78,140,0.5476190476190477,0.7051282051282052,0.30952380952380953,1.794871794871795,3.3073394495412844,0.07142857142857142,0.7051282051282052,24303,2016.06.27
0.11.0,1086,98,166,0.4358974358974359,0.6428571428571429,0.32051282051282054,1.6938775510204083,4.113636363636363,0.11538461538461539,0.6428571428571429,33005,2016.11.09
1.0.0,973,81,145,0.42857142857142855,0.4444444444444444,0.3877551020408163,1.7901234567901234,4.3053097345132745,0.10204081632653061,0.4444444444444444,41582,2017.02.15
1.2.0,1506,158,229,0.6419753086419753,0.5886075949367089,0.19753086419753085,1.4493670886075949,3.891472868217054,0.08641975308641975,0.5886075949367089,55228,2017.06.15
1.4.0,1569,135,227,0.41139240506329117,0.4962962962962963,0.37341772151898733,1.6814814814814816,4.334254143646409,0.13924050632911392,0.4962962962962963,69160,2017.11.02
1.6.0,1491,151,258,0.5185185185185185,0.47019867549668876,0.22962962962962963,1.7086092715231789,3.645476772616137,0.1259259259259259,0.47019867549668876,83299,2018.02.28
1.9.0,1639,170,252,0.5629139072847682,0.43529411764705883,0.23841059602649006,1.4823529411764707,3.8838862559241707,0.13245033112582782,0.43529411764705883,97129,2018.07.10
1.12.0,1658,170,225,0.5352941176470588,0.3941176470588235,0.24705882352941178,1.3235294117647058,4.19746835443038,0.11764705882352941,0.3941176470588235,106170,2018.11.05
1.14.0,2944,209,394,0.5647058823529412,0.4880382775119617,0.25882352941176473,1.8851674641148326,4.882255389718076,0.14705882352941177,0.4880382775119617,122695,2019.06.19
2.0.0,1527,170,261,0.5263157894736842,0.2823529411764706,0.2583732057416268,1.535294117647059,3.54292343387471,0.12440191387559808,0.2823529411764706,128687,2019.09.30
2.1.0,1596,216,215,0.6176470588235294,0.4351851851851852,0.18235294117647058,0.9953703703703703,3.703016241299304,0.13529411764705881,0.4351851851851852,133706,2020.01.08
2.2.0,1955,204,261,0.5370370370370371,0.3382352941176471,0.17592592592592593,1.2794117647058822,4.204301075268817,0.20833333333333334,0.3382352941176471,138513,2020.05.06
2.3.0,1537,174,219,0.5294117647058824,0.25287356321839083,0.15196078431372548,1.2586206896551724,3.910941475826972,0.2107843137254902,0.25287356321839083,142047,2020.07.27
2.4.0,2074,199,311,0.6666666666666666,0.31155778894472363,0.09770114942528736,1.5628140703517588,4.066666666666666,0.19540229885057472,0.31155778894472363,147463,2020.12.14
2.5.0,1745,176,310,0.5728643216080402,0.24431818181818182,0.21608040201005024,1.7613636363636365,3.590534979423868,0.19597989949748743,0.24431818181818182,152591,2021.05.13
2.6.0,957,130,218,0.5340909090909091,0.14615384615384616,0.21022727272727273,1.676923076923077,2.75,0.22727272727272727,0.14615384615384616,156076,2021.08.11
2.7.0,775,137,184,0.5923076923076923,0.26277372262773724,0.11538461538461539,1.3430656934306568,2.4143302180685358,0.23076923076923078,0.26277372262773724,158196,2021.11.05
2.8.0,666,123,147,0.5620437956204379,0.21951219512195122,0.15328467153284672,1.1951219512195121,2.466666666666667,0.24087591240875914,0.21951219512195122,161055,2022.02.02
2.9.0,709,133,187,0.6504065040650406,0.24812030075187969,0.15447154471544716,1.406015037593985,2.215625,0.1951219512195122,0.24812030075187969,164092,2022.05.16
