version,active_users,core_developers,peripheral_developers,retention rate,inflow rate,dropout rate,core-to-peri rate,ratio p-c,ratio a-d,stars
2015-12,182,21,19,0,0,0,0,0.9047619047619048,4.55,12029
2016-01,151,34,30,0.5714285714285714,0.6470588235294118,0.23809523809523808,0.09523809523809523,0.8823529411764706,2.359375,13624
2016-02,167,35,44,0.6176470588235294,0.4,0.29411764705882354,0.029411764705882353,1.2571428571428571,2.1139240506329116,15476
2016-03,196,41,35,0.6571428571428571,0.4146341463414634,0.11428571428571428,0.05714285714285714,0.8536585365853658,2.5789473684210527,16658
2016-04,218,39,36,0.5121951219512195,0.38461538461538464,0.1951219512195122,0.14634146341463414,0.9230769230769231,2.9066666666666667,18136
2016-05,238,41,35,0.5384615384615384,0.3902439024390244,0.23076923076923078,0.1282051282051282,0.8536585365853658,3.1315789473684212,20098
2016-06,290,50,43,0.5853658536585366,0.46,0.17073170731707318,0.14634146341463414,0.86,3.118279569892473,22416
2016-07,303,49,41,0.48,0.42857142857142855,0.18,0.16,0.8367346938775511,3.3666666666666667,24225
2016-08,326,53,44,0.5714285714285714,0.3018867924528302,0.1836734693877551,0.08163265306122448,0.8301886792452831,3.3608247422680413,25821
2016-09,327,53,57,0.49056603773584906,0.41509433962264153,0.20754716981132076,0.16981132075471697,1.0754716981132075,2.9727272727272727,27536
2016-10,388,48,54,0.5471698113207547,0.3333333333333333,0.2641509433962264,0.05660377358490566,1.125,3.803921568627451,29517
2016-11,425,49,70,0.5208333333333334,0.3469387755102041,0.25,0.125,1.4285714285714286,3.5714285714285716,32042
2016-12,371,43,55,0.46938775510204084,0.27906976744186046,0.1836734693877551,0.14285714285714285,1.2790697674418605,3.7857142857142856,34308
2017-01,371,50,61,0.46511627906976744,0.4,0.18604651162790697,0.18604651162790697,1.22,3.3423423423423424,37026
2017-02,498,59,70,0.52,0.3559322033898305,0.1,0.1,1.1864406779661016,3.86046511627907,39739
2017-03,594,88,88,0.5254237288135594,0.38636363636363635,0.1864406779661017,0.11864406779661017,1.0,3.375,43457
2017-04,476,68,58,0.4431818181818182,0.27941176470588236,0.2727272727272727,0.10227272727272728,0.8529411764705882,3.7777777777777777,47075
2017-05,482,88,75,0.5441176470588235,0.38636363636363635,0.16176470588235295,0.10294117647058823,0.8522727272727273,2.957055214723926,49891
2017-06,454,71,80,0.4431818181818182,0.28169014084507044,0.23863636363636365,0.14772727272727273,1.1267605633802817,3.006622516556291,53204
2017-07,467,73,64,0.4647887323943662,0.3972602739726027,0.18309859154929578,0.18309859154929578,0.8767123287671232,3.408759124087591,55835
2017-08,505,62,76,0.4931506849315068,0.22580645161290322,0.1643835616438356,0.1917808219178082,1.2258064516129032,3.6594202898550723,58761
2017-09,440,67,71,0.5967741935483871,0.29850746268656714,0.08064516129032258,0.1935483870967742,1.0597014925373134,3.1884057971014492,61638
2017-10,447,64,79,0.5074626865671642,0.296875,0.13432835820895522,0.19402985074626866,1.234375,3.125874125874126,64423
2017-11,533,83,96,0.59375,0.3253012048192771,0.0625,0.1875,1.1566265060240963,2.977653631284916,68072
2017-12,476,76,93,0.5180722891566265,0.2236842105263158,0.10843373493975904,0.21686746987951808,1.2236842105263157,2.8165680473372783,72244
2018-01,555,93,103,0.5131578947368421,0.3333333333333333,0.10526315789473684,0.18421052631578946,1.10752688172043,2.8316326530612246,76072
2018-02,508,75,95,0.4731182795698925,0.28,0.13978494623655913,0.22580645161290322,1.2666666666666666,2.988235294117647,79586
2018-03,520,88,107,0.5733333333333334,0.26136363636363635,0.16,0.16,1.2159090909090908,2.6666666666666665,82603
2018-04,537,90,100,0.5795454545454546,0.24444444444444444,0.125,0.20454545454545456,1.1111111111111112,2.8263157894736843,86197
2018-05,522,92,73,0.5444444444444444,0.25,0.14444444444444443,0.14444444444444443,0.7934782608695652,3.1636363636363636,89336
2018-06,495,103,92,0.5760869565217391,0.2621359223300971,0.13043478260869565,0.15217391304347827,0.8932038834951457,2.5384615384615383,92626
2018-07,564,103,102,0.5631067961165048,0.2524271844660194,0.14563106796116504,0.1650485436893204,0.9902912621359223,2.7512195121951217,95149
2018-08,595,103,89,0.5825242718446602,0.20388349514563106,0.1553398058252427,0.14563106796116504,0.8640776699029126,3.0989583333333335,97445
2018-09,501,104,81,0.5825242718446602,0.23076923076923078,0.17475728155339806,0.14563106796116504,0.7788461538461539,2.708108108108108,99595
2018-10,599,103,103,0.5576923076923077,0.20388349514563106,0.14423076923076922,0.20192307692307693,1.0,2.907766990291262,102148
2018-11,553,106,95,0.5728155339805825,0.2358490566037736,0.10679611650485436,0.18446601941747573,0.8962264150943396,2.7512437810945274,104468
2018-12,465,99,89,0.5754716981132075,0.2222222222222222,0.10377358490566038,0.19811320754716982,0.898989898989899,2.473404255319149,106698
2019-01,505,106,107,0.6161616161616161,0.2169811320754717,0.12121212121212122,0.13131313131313133,1.009433962264151,2.3708920187793425,108733
2019-02,533,101,117,0.6226415094339622,0.16831683168316833,0.08490566037735849,0.18867924528301888,1.1584158415841583,2.444954128440367,110973
2019-03,690,116,127,0.6732673267326733,0.23275862068965517,0.07920792079207921,0.18811881188118812,1.0948275862068966,2.8395061728395063,112797
2019-04,618,131,128,0.6637931034482759,0.26717557251908397,0.0603448275862069,0.1810344827586207,0.9770992366412213,2.386100386100386,115739
2019-05,585,107,125,0.5114503816793893,0.19626168224299065,0.16030534351145037,0.25190839694656486,1.1682242990654206,2.521551724137931,117909
2019-06,613,120,112,0.7289719626168224,0.14166666666666666,0.04672897196261682,0.11214953271028037,0.9333333333333333,2.6422413793103448,120036
2019-07,628,115,130,0.575,0.23478260869565218,0.15833333333333333,0.175,1.1304347826086956,2.563265306122449,121724
2019-08,585,139,119,0.6260869565217392,0.2589928057553957,0.13043478260869565,0.12173913043478261,0.8561151079136691,2.2674418604651163,123563
2019-09,548,118,127,0.5971223021582733,0.13559322033898305,0.1079136690647482,0.17266187050359713,1.076271186440678,2.236734693877551,125104
2019-10,720,136,128,0.5932203389830508,0.25,0.0847457627118644,0.2033898305084746,0.9411764705882353,2.727272727272727,126938
2019-11,625,133,114,0.5882352941176471,0.18045112781954886,0.08823529411764706,0.17647058823529413,0.8571428571428571,2.5303643724696356,128498
2019-12,568,125,121,0.518796992481203,0.224,0.06766917293233082,0.21804511278195488,0.968,2.3089430894308944,130138
2020-01,597,144,116,0.6,0.20833333333333334,0.104,0.192,0.8055555555555556,2.296153846153846,131498
2020-02,578,142,113,0.5833333333333334,0.22535211267605634,0.10416666666666667,0.18055555555555555,0.795774647887324,2.2666666666666666,132635
2020-03,620,127,120,0.5352112676056338,0.1968503937007874,0.07746478873239436,0.2323943661971831,0.9448818897637795,2.5101214574898787,133652
2020-04,715,125,127,0.6220472440944882,0.112,0.11023622047244094,0.16535433070866143,1.016,2.8373015873015874,135033
2020-05,718,121,118,0.656,0.1487603305785124,0.072,0.144,0.9752066115702479,3.00418410041841,136397
2020-06,661,141,132,0.6528925619834711,0.22695035460992907,0.06611570247933884,0.18181818181818182,0.9361702127659575,2.421245421245421,137836
2020-07,704,118,130,0.574468085106383,0.1016949152542373,0.06382978723404255,0.20567375886524822,1.1016949152542372,2.838709677419355,138980
2020-08,619,136,135,0.6694915254237288,0.19852941176470587,0.07627118644067797,0.1694915254237288,0.9926470588235294,2.284132841328413,140185
2020-09,589,128,108,0.6617647058823529,0.09375,0.1323529411764706,0.125,0.84375,2.4957627118644066,141275
2020-10,562,131,121,0.640625,0.13740458015267176,0.125,0.15625,0.9236641221374046,2.2301587301587302,142334
2020-11,589,123,106,0.648854961832061,0.13821138211382114,0.07633587786259542,0.16793893129770993,0.8617886178861789,2.572052401746725,143345
2020-12,505,99,111,0.5447154471544715,0.16161616161616163,0.04065040650406504,0.2682926829268293,1.121212121212121,2.4047619047619047,144653
2021-01,463,113,127,0.6161616161616161,0.11504424778761062,0.0707070707070707,0.1717171717171717,1.1238938053097345,1.9291666666666667,145852
2021-02,452,109,116,0.5752212389380531,0.14678899082568808,0.061946902654867256,0.22123893805309736,1.0642201834862386,2.008888888888889,146891
2021-03,514,112,134,0.5871559633027523,0.13392857142857142,0.06422018348623854,0.23853211009174313,1.1964285714285714,2.089430894308943,147756
2021-04,472,124,106,0.6160714285714286,0.1532258064516129,0.10714285714285714,0.125,0.8548387096774194,2.0521739130434784,148718
2021-05,468,104,117,0.5403225806451613,0.07692307692307693,0.10483870967741936,0.21774193548387097,1.125,2.1176470588235294,149888
2021-06,404,110,106,0.6634615384615384,0.09090909090909091,0.057692307692307696,0.14423076923076922,0.9636363636363636,1.8703703703703705,150840
2021-07,361,107,111,0.5909090909090909,0.08411214953271028,0.07272727272727272,0.19090909090909092,1.0373831775700935,1.6559633027522935,151761
2021-08,396,103,118,0.5981308411214953,0.0970873786407767,0.09345794392523364,0.19626168224299065,1.145631067961165,1.7918552036199096,152710
