issue_id,author,issue_type,timestamp,title,body,community
255,jekbradbury,pr,2016-11-25T23:01:25Z,Fix batch_first in AutogradRNN,Fixes #253.,pytorch
490,vra,pr,2017-01-19T02:14:19Z,format fix,,pytorch
502,ronrest,pr,2017-01-19T12:01:48Z,Update docstring for ConvTranspose functions,**Transposed convolutions** are often (*but incorrectly*) referred to as **Deconvolutional operations**. Made mention of this in the docstring to make it easier for people to search for this operation in the documentation.,pytorch
503,ronrest,pr,2017-01-19T12:55:25Z,Update batchnorm docstrings,"Add missing full stops, and added blank line for increased clarity on rendered documentation.",pytorch
505,ronrest,pr,2017-01-19T13:43:43Z,Update docstrings for  testing object type,Add docstring for `is_storage()` and `is_tensor()`,pytorch
506,ronrest,pr,2017-01-19T14:15:40Z,Add Random Number Generator Docstrings,Add Random Number Generator Docstrings,pytorch
572,jfsantos,pr,2017-01-24T19:27:57Z,Fix math block of GRUCell in docs,"Added a blank space between the beginning of the `.. math::` block, otherwise it is displayed as a code block.",pytorch
693,jfsantos,pr,2017-02-07T15:01:09Z,Fixed typo and rendering of some equations,,pytorch
989,wangg12,pr,2017-03-13T06:08:06Z,fix doc of conv3d in conv.py,the second dimension should be height.,pytorch
1231,eklitzke,pr,2017-04-11T17:22:11Z,update README to install pyyaml from conda,"Pretty straightforward: PyYAML is in conda, so instead of mixing conda and pip, I think it makes more sense to just install everything with conda.

I was tempted to remove the `requirements.txt` file entirely, since the only other references to it are in `.travis.yml` and `Dockfile`, but I don't know enough about testing Docker to validate that change. That said, I don't see any reason that PyYAML couldn't be installed from conda in Travis/Docker as well.",pytorch
1232,jfsantos,pr,2017-04-11T17:24:25Z,Fixing function signatures: long -> ptrdiff_t,,pytorch
1238,eklitzke,pr,2017-04-12T03:47:46Z,add pyyaml to conda note here as well,Earlier you merged ade105fb7c198546a0a099ddf7ed2c87a9add5cd for me. I inadvertently only updated the OS X instructions; this adds the pyyaml note to the Linux instructions as well.,pytorch
1370,Jiaming-Liu,pr,2017-04-26T22:44:30Z,Lr scheduler,"Providing a unified LR scheduler.

Currently supports:
 - ReduceLROnPlateau (ported from [Keras](https://keras.io/))
 - LambdaLR
 - StepLR
 - MultiStepLR
 - ExponentialLR
 - GroupLambdaLR (Need testing)",pytorch
1373,aam-at,pr,2017-04-27T03:01:59Z,Magma SVD speed improvement,"Use `magma_*gesdd` instead of `magma_*gesvd`. Gesdd uses divide-and-conquer algorithm and is significantly faster than gesvd routine. Speed comparison (10 runs, Titan X):
<table border=""2"" cellspacing=""0"" cellpadding=""2"" rules=""groups"" frame=""hsides"">


<colgroup>
<col  class=""org-right"" />

<col  class=""org-right"" />

<col  class=""org-right"" />
</colgroup>
<tbody>
<tr>
<td class=""org-right"">N</td>
<td class=""org-right"">Old</td>
<td class=""org-right"">New</td>
</tr>


<tr>
<td class=""org-right"">1088</td>
<td class=""org-right"">0.7469</td>
<td class=""org-right"">0.2180</td>
</tr>


<tr>
<td class=""org-right"">2112</td>
<td class=""org-right"">3.4861</td>
<td class=""org-right"">0.9318</td>
</tr>


<tr>
<td class=""org-right"">3136</td>
<td class=""org-right"">8.7378</td>
<td class=""org-right"">2.2060</td>
</tr>


<tr>
<td class=""org-right"">4160</td>
<td class=""org-right"">14.7790</td>
<td class=""org-right"">4.3269</td>
</tr>


<tr>
<td class=""org-right"">5184</td>
<td class=""org-right"">25.9419</td>
<td class=""org-right"">8.6554</td>
</tr>
</tbody>
</table>


",pytorch
