issue_id,author,issue_type,timestamp,title,body,community
244,Maratyszcza,pr,2016-11-22T17:09:48Z,Make torch.backends.cudnn work on OSX,Tested on MBP with GeForce GT 750M,pytorch
1074,zuoxingdong,pr,2017-03-23T14:22:34Z,DataLoader: Fix batch data type for numpy array,"The original code is reasonable under purpose without importing numpy. However, in some cases, the user shall generate data set themselves by using Numpy and often the labels are of type `np.float32` which gives True for `type(label).__module__ == 'numpy'`, but it is not the purpose for this line and will raise runtime error, since label is not array, it can not be used for `torch.from_numpy()`.",pytorch
1133,zuoxingdong,pr,2017-03-28T22:34:04Z,Add a flag to fix when dataset size is not divisible by batch size.,,pytorch
1194,zuoxingdong,pr,2017-04-05T15:49:51Z,Fix AttributeError: module 'torch.utils' has no attribute 'data',"As @soumith replied in [Discuss Forum](https://discuss.pytorch.org/t/attributeerror-module-torch-utils-has-no-attribute-data/1666), it can be solved by adding `import torch.utils.data`. However, many tutorials and examples already directly call `torch.utils.data.DataLoader` only with `import torch`. This PR is to fix this need. ",pytorch
2795,zuoxingdong,pr,2017-09-20T01:26:11Z,New features:  parameters to vector and vector to parameters,,pytorch
2814,zuoxingdong,pr,2017-09-20T23:32:00Z,Multinomial backward: Batched gradients filling,,pytorch
4548,ppwwyyxx,pr,2018-01-09T01:00:40Z,Fix type check in `checked_cast`.,"`type.toBackend(toSparse(t.type().backend()))` can crash when `type` does not have a matching sparse type. For now, Half type does not have sparse support.",pytorch
6282,Maratyszcza,pr,2018-04-04T22:29:22Z,[caffe2] Do not print version and build info unless explicitly requested,"All Caffe2-enabled binaries print very verbose version information on initialization. This fix disables it, unless explicitly requested via command-line flag.",pytorch
6365,Maratyszcza,pr,2018-04-06T21:19:58Z,[caffe2] Always build NNPACK together with Caffe2,"Caffe2 started with an option to use NNPACK pre-installed in the system.
Now this option is mostly legacy, as Caffe2 can include NNPACK in its own build on all platforms.
Due to problems when pre-installed NNPACK is built with different dependencies or compiler options, we decided to remove this option and alwyas build NNPACK with Caffe2.
This change makes Caffe2 always build NNPACK as part of its own build, and updates NNPACK and cpuinfo submodules.

",pytorch
6375,Maratyszcza,pr,2018-04-07T02:08:02Z,[caffe2] Support fused Conv+Relu with NNPACK,"Enable the use of fused Convolution+ReLU functionality from NNPACK

",pytorch
6427,zuoxingdong,pr,2018-04-09T18:12:45Z,Add method to calculate perplexity of distribution,,pytorch
6508,zuoxingdong,pr,2018-04-11T16:22:38Z,Add docs for `item()`,,pytorch
6532,Maratyszcza,pr,2018-04-11T23:21:55Z,[caffe2] Minor changes in NNPACK CMake scripts,"- Tell NNPACK to not link pthreadpool, but only its headers
- Remove FindNNPACK.cmake as it is no longer used

",pytorch
6537,Maratyszcza,pr,2018-04-12T02:55:42Z,[caffe2] Unit test for the thread pool,Adapted from pthreadpool unit test,pytorch
6555,Maratyszcza,pr,2018-04-12T18:06:57Z,[caffe2] Fix bug in NNPACK bindings for convolution in precomputed transform,"Caffe2-NNPACK integration creates blobs for precomputed kernel transorms based on the name of Conv operator. When Conv operators have the same name (e.g. empty string), or the blobs for precomputed transforms get the same name and overwrite each other.
This patch ensures that blobs for all precomputed transforms in the network get a unique name.

",pytorch
6557,Maratyszcza,pr,2018-04-12T18:37:01Z,[caffe2] Auto-tuner for mobile engines,"Try different engine options for Conv operators:

- default engine with shared buffer
- NNPACK engine with auto algorithm and shared buffer (only for unit dilation)
- NNPACK engine with WINOGRAD algorithm, precomputed transforms and shared buffer (only for unit dilation, unit or 2x2 stride, and 3x3 kernel)
- NNPACK engine with WINOGRAD_FP16 algorithm, precomputed transforms and shared buffer (only for unit dilation, unit stride, and 3x3 kernel)
- NNPACK engine with FT8x8 algorithm, precomputed transforms and shared buffer (only for unit dilation, unit stride, and kernel <= 8x8)
- NNPACK engine with FT16x16 algorithm, precomputed transforms and shared buffer (only for unit dilation, unit stride, and kernel <= 16x16)
- NNPACK engine with DIRECT algorithm (only for unit dilation, unit stride, and 1x1 kernel)
- NNPACK engine with implicit GEMM algorithm, precomputed transforms, and shared buffer (only for unit dilation)

",pytorch
6601,Maratyszcza,pr,2018-04-14T01:46:34Z,[caffe2] Open-source DEPTHWISE_3x3 engine,"DEPTHWISE_3x3 engine provides an optimized implementation of depthwise 3x3 convolution, e.g. for ShuffleNet, MobileNets
Implementations exist for CPU (generic), ARM CPU, and CUDA GPU.

Originally developed by @ajtulloch

",pytorch
6697,Maratyszcza,pr,2018-04-18T07:18:38Z,[caffe2] Use both __ARM_NEON__ and __ARM_NEON macros,"ARM64 clang from Android NDK doesn't define `__ARM_NEON__`, which results is perf regression on some models.
I figured that some compilers define `__ARM_NEON__` while others define `__ARM_NEON`.
This patch changes all NEON-specific parts in Caffe2 to check both macros.

",pytorch
6753,zuoxingdong,pr,2018-04-19T09:46:38Z,Update docstring in rnn.py: Multiplication notation,,pytorch
7048,Maratyszcza,pr,2018-04-27T19:57:16Z,[caffe2] Fix build of depthwise_3x3 for CUDA compute capability < 3.5,"PR #6601 broke build on older CUDA targets due to `__ldg` intrinsics. This patch adds a work-around.

",pytorch
7177,zuoxingdong,pr,2018-05-02T12:32:49Z,[Update distribution.py] Add probability evaluation,Useful for e.g. computing loss for Mixture Density Networks. ,pytorch
7443,Maratyszcza,pr,2018-05-09T23:26:04Z,Update NNPACK and cpuinfo submodules to latest master,"In Maratyszcza/NNPACK#140 @daquexian reported an error on Faster-RCNN model with MobileNet V2, when running with NNPACK engine. The error disappears when using the latest NNPACK and cpuinfo. Updating submodules upstream to ensure others don't hit this issue.

",pytorch
7540,zasdfgbnm,pr,2018-05-13T23:22:31Z,Add trigonometry functions for ONNX export,"Trigonometry functions are newly added to ONNX in a recent PR https://github.com/onnx/onnx/pull/869

This PR makes pytorch support exporting graphs with trigonometry functions.

This PR might need to wait until it is ready to change
```python
_onnx_opset_version = 6
```
to
```python
_onnx_opset_version = 7
```",pytorch
