issue_id,author,issue_type,timestamp,title,body,community
11,apaszke,pr,2016-09-07T17:20:21Z,"add multiprocessing unit tests, working file-descriptor based solution and OSX","**Don't merge, this PR is only for test purposes**
",pytorch
12,apaszke,pr,2016-09-07T17:20:55Z,Initial utils implementation + bug fixes,"**Don't merge, this PR is only for test purposes**
",pytorch
24,apaszke,pr,2016-09-14T02:20:02Z,More modules for nn + improvements in CUDA tests,"**Do not merge. This PR is just for review and test purposes.**
",pytorch
33,apaszke,pr,2016-09-15T20:04:11Z,Add more functions to autograd,"**Do not merge. This PR is only for review and test purposes.**
",pytorch
34,apaszke,pr,2016-09-15T21:12:26Z,Various improvements and fixes,"**Do not merge. This PR is only for review and test purposes.**
- Type conversions now use auto gpu (#25)
- Printing tensors and storages with `inf`s and `nan`s no longer raises errors (#27)
- Error messages of tensor methods are now much better (#26)
- Storages can be now converted to different types
- CUDA storages now have a `getDevice()` method
",pytorch
37,apaszke,pr,2016-09-16T21:28:40Z,Add more functions to autograd,"**Do not merge. This PR is only for review and test purposes.**
",pytorch
38,apaszke,pr,2016-09-16T22:25:09Z,Fix multiprocessing on OS X,"**Do not merge. This PR is only for review and test purposes.**
",pytorch
40,apaszke,pr,2016-09-19T16:19:56Z,Codemod to remove camel case method naming,"Also, changed the default tensor type to float.

**Do not merge. This PR is only for review and test purposes.**
",pytorch
45,apaszke,pr,2016-09-21T15:38:03Z,Refactor _C extension to export some utilities,,pytorch
47,apaszke,pr,2016-09-22T03:44:47Z,"Improve storage, tensor and module C error messages + fix for dl flags in nightly python","**Do not merge. This PR is only for review and test purposes.**
",pytorch
50,apaszke,pr,2016-09-24T01:07:29Z,Improvements in torch.nn,"**Do not merge. This PR is only for review and test purposes.**
",pytorch
51,apaszke,pr,2016-09-25T19:27:11Z,Various improvements,"**Do not merge. This PR is only for review and test purposes.**
",pytorch
58,apaszke,pr,2016-09-27T00:04:06Z,Add data parallel functions to nn,"**Do not merge. This PR is only for review and test purposes.**
",pytorch
62,apaszke,pr,2016-09-28T17:42:33Z,Add ffi utils for user C extensions,"**Do not merge. This PR is only for review and test purposes.**

This change depends on the upcoming changes to `torch.cuda` (right now tests and ffi utils always import and use this module).

Example:

``` python
# build_ext.py
import glob
from torch.utils.ffi import compile_extension
compile_extension('ext.my_lib', 'src/exported_api.h', glob('src/*.c'))
```

``` python
# main.py
import torch
from ext import my_lib
my_lib.my_fn(torch.randn(5, 5))
```
",pytorch
69,apaszke,pr,2016-09-29T16:39:47Z,PRNG related stuff + RReLU implementation,"**Do not merge. This PR is only for review and test purposes.**
",pytorch
70,apaszke,pr,2016-09-29T19:04:29Z,Error message improvements + small test fix,"**Do not merge. This PR is only for review and test purposes.**
",pytorch
74,apaszke,pr,2016-09-30T18:34:24Z,Add more functions to autograd,,pytorch
75,apaszke,pr,2016-09-30T20:10:32Z,Fixes for TH error handlers,"**Do not merge. This PR is only for review and test purposes.**
",pytorch
93,apaszke,pr,2016-10-03T04:36:29Z,Bug fixes,"**Do not merge. This PR is only for review and test purposes.**
",pytorch
96,apaszke,pr,2016-10-03T14:35:12Z,Fix Variable indexing bugs,,pytorch
98,apaszke,pr,2016-10-04T02:14:12Z,Fix memory leak when constructing a tensor from numpy,,pytorch
